0.09868	-8500
0.09574	-8250
0.07132	-7750
0.06278	-7500
0.05855	-7250
0.05412	-7000
0.04991	-6750
0.04598	-6500
0.04233	-6250
0.03904	-6000
0.03725	-5750
0.03502	-5500
0.03319	-5250
0.03140	-5000
0.03000	-4750
0.02879	-4500
0.02773	-4250
0.02669	-4000
0.02576	-3750
0.02487	-3500
0.02402	-3250
0.02326	-3000
0.02263	-2750
0.02208	-2500
0.02160	-2250
0.02133	-2000
0.02166	-1750
0.02143	-1500
0.02160	-1250
0.02191	-1000
0.02233	-750
0.02284	-500
0.02341	-250
0.02406	0
0.02515	250
0.02630	500
0.02724	750
0.02810	1000
0.02891	1250
0.02966	1500
0.03035	1750
0.03099	2000
0.03158	2250
0.03212	2500
0.03261	2750
0.03304	3000
0.03336	3250
0.03358	3500
0.03371	3750
0.03375	4000
0.03367	4250
0.03344	4500
0.03304	4750
0.03256	5000
0.03315	5250
0.03277	5500
0.03161	5750
0.03159	6000
0.03097	6250
0.03048	6500
0.03029	6750
0.03027	7000
0.03017	7250
0.03062	7500
0.03129	7750
0.03245	8000
0.03394	8250
0.03571	8500
0.03769	8750
0.03979	9000
0.04201	9250
0.04445	9500
0.04737	9750
0.04997	10000
0.05308	10250
0.05686	10500
0.06085	10750
0.06510	11000
0.06964	11250
0.07509	11500
0.08206	11750
0.09021	12000
0.12916	12250
0.13272	12500

