-8500	0.09868
-8250	0.09574
-7750	0.07132
-7500	0.06278
-7250	0.05855
-7000	0.05412
-6750	0.04991
-6500	0.04598
-6250	0.04233
-6000	0.03904
-5750	0.03725
-5500	0.03502
-5250	0.03319
-5000	0.03140
-4750	0.03000
-4500	0.02879
-4250	0.02773
-4000	0.02669
-3750	0.02576
-3500	0.02487
-3250	0.02402
-3000	0.02326
-2750	0.02263
-2500	0.02208
-2250	0.02160
-2000	0.02133
-1750	0.02166
-1500	0.02143
-1250	0.02160
-1000	0.02191
-750	0.02233
-500	0.02284
-250	0.02341
0	0.02406
250	0.02515
500	0.02630
750	0.02724
1000	0.02810
1250	0.02891
1500	0.02966
1750	0.03035
2000	0.03099
2250	0.03158
2500	0.03212
2750	0.03261
3000	0.03304
3250	0.03336
3500	0.03358
3750	0.03371
4000	0.03375
4250	0.03367
4500	0.03344
4750	0.03304
5000	0.03256
5250	0.03315
5500	0.03277
5750	0.03161
6000	0.03159
6250	0.03097
6500	0.03048
6750	0.03029
7000	0.03027
7250	0.03017
7500	0.03062
7750	0.03129
8000	0.03245
8250	0.03394
8500	0.03571
8750	0.03769
9000	0.03979
9250	0.04201
9500	0.04445
9750	0.04737
10000	0.04997
10250	0.05308
10500	0.05686
10750	0.06085
11000	0.06510
11250	0.06964
11500	0.07509
11750	0.08206
12000	0.09021
12250	0.12916
12500	0.13272
