-0.4124	-8500
-0.4121	-8250
-0.5569	-7750
-0.5864	-7500
-0.5842	-7250
-0.5854	-7000
-0.5839	-6750
-0.5787	-6500
-0.5695	-6250
-0.5571	-6000
-0.5390	-5750
-0.5221	-5500
-0.5027	-5250
-0.4827	-5000
-0.4620	-4750
-0.4411	-4500
-0.4199	-4250
-0.3983	-4000
-0.3765	-3750
-0.3545	-3500
-0.3320	-3250
-0.3108	-3000
-0.2902	-2750
-0.2718	-2500
-0.2578	-2250
-0.2485	-2000
-0.1469	-1750
-0.1502	-1500
-0.1389	-1250
-0.1244	-1000
-0.1086	-750
-0.0922	-500
-0.0756	-250
-0.0589	0
-0.0109	250
0.0450	500
0.0927	750
0.1375	1000
0.1811	1250
0.2231	1500
0.2633	1750
0.3025	2000
0.3408	2250
0.3785	2500
0.4157	2750
0.4528	3000
0.4905	3250
0.5281	3500
0.5639	3750
0.5990	4000
0.6342	4250
0.6700	4500
0.7067	4750
0.7429	5000
0.7613	5250
0.7935	5500
0.8345	5750
0.8567	6000
0.8858	6250
0.9139	6500
0.9384	6750
0.9598	7000
0.9816	7250
0.9960	7500
10111	7750
10252	8000
10412	8250
10592	8500
10779	8750
10969	9000
11165	9250
11354	9500
11471	9750
11591	10000
11743	10250
11677	10500
11563	10750
11391	11000
11121	11250
10760	11500
10357	11750
10001	12000
0.8261	12250
0.8419	12500

