-8500	-0.4124
-8250	-0.4121
-7750	-0.5569
-7500	-0.5864
-7250	-0.5842
-7000	-0.5854
-6750	-0.5839
-6500	-0.5787
-6250	-0.5695
-6000	-0.5571
-5750	-0.5390
-5500	-0.5221
-5250	-0.5027
-5000	-0.4827
-4750	-0.4620
-4500	-0.4411
-4250	-0.4199
-4000	-0.3983
-3750	-0.3765
-3500	-0.3545
-3250	-0.3320
-3000	-0.3108
-2750	-0.2902
-2500	-0.2718
-2250	-0.2578
-2000	-0.2485
-1750	-0.1469
-1500	-0.1502
-1250	-0.1389
-1000	-0.1244
-750	-0.1086
-500	-0.0922
-250	-0.0756
0	-0.0589
250	-0.0109
500	0.0450
750	0.0927
1000	0.1375
1250	0.1811
1500	0.2231
1750	0.2633
2000	0.3025
2250	0.3408
2500	0.3785
2750	0.4157
3000	0.4528
3250	0.4905
3500	0.5281
3750	0.5639
4000	0.5990
4250	0.6342
4500	0.6700
4750	0.7067
5000	0.7429
5250	0.7613
5500	0.7935
5750	0.8345
6000	0.8567
6250	0.8858
6500	0.9139
6750	0.9384
7000	0.9598
7250	0.9816
7500	0.9960
7750	10.111
8000	10.252
8250	10.412
8500	10.592
8750	10.779
9000	10.969
9250	11.165
9500	11.354
9750	11.471
10000	11.591
10250	11.743
10500	11.677
10750	11.563
11000	11.391
11250	11.121
11500	10.760
11750	10.357
12000	10.001
12250	0.8261
12500	0.8419
